[2023-02-01T08:33:30.378429+01:00] Rizal\Logger\LoggerTest.INFO: Log [] []
[2023-02-01T08:46:31.150506+01:00] Rizal\Logger\LoggerTest.INFO: Log [] []
[2023-02-01T08:46:49.107444+01:00] Rizal\Logger\LevelTest.INFO: Info Level [] []
[2023-02-01T08:46:49.121221+01:00] Rizal\Logger\LevelTest.EMERGENCY: Emergency Level [] []
[2023-02-01T08:46:49.121347+01:00] Rizal\Logger\LevelTest.DEBUG: Debug Level [] []
[2023-02-01T08:46:49.121416+01:00] Rizal\Logger\LevelTest.ALERT: Alert Level [] []
[2023-02-01T08:46:49.121482+01:00] Rizal\Logger\LevelTest.CRITICAL: Critical Level [] []
[2023-02-01T08:46:49.121552+01:00] Rizal\Logger\LevelTest.NOTICE: Notice Level [] []
[2023-02-01T08:50:17.395101+01:00] Rizal\Logger\LevelTest.INFO: Info Level [] []
[2023-02-01T08:50:17.399114+01:00] Rizal\Logger\LevelTest.EMERGENCY: Emergency Level [] []
[2023-02-01T08:50:17.402101+01:00] Rizal\Logger\LevelTest.DEBUG: Debug Level [] []
[2023-02-01T08:50:17.402268+01:00] Rizal\Logger\LevelTest.ALERT: Alert Level [] []
[2023-02-01T08:50:17.402492+01:00] Rizal\Logger\LevelTest.CRITICAL: Critical Level [] []
[2023-02-01T08:50:17.402610+01:00] Rizal\Logger\LevelTest.NOTICE: Notice Level [] []
[2023-02-01T08:50:56.548440+01:00] Rizal\Logger\LevelTest.INFO: Info Level [] []
[2023-02-01T08:50:56.553269+01:00] Rizal\Logger\LevelTest.EMERGENCY: Emergency Level [] []
[2023-02-01T08:50:56.553742+01:00] Rizal\Logger\LevelTest.ALERT: Alert Level [] []
[2023-02-01T08:50:56.553864+01:00] Rizal\Logger\LevelTest.CRITICAL: Critical Level [] []
[2023-02-01T08:50:56.553985+01:00] Rizal\Logger\LevelTest.NOTICE: Notice Level [] []
[2023-02-01T09:02:17.169223+01:00] Rizal\Logger\ContextTest.INFO: Successful Login {"username":"rizal300500"} []
[2023-02-01T09:02:17.176771+01:00] Rizal\Logger\ContextTest.ERROR: Error Login {"username":"_Rizal"} []
[2023-02-01T09:03:04.032153+01:00] Rizal\Logger\ContextTest.INFO: Successful Login {"username":"rizal300500"} []
[2023-02-01T09:03:04.036334+01:00] Rizal\Logger\ContextTest.ERROR: Error Login {"username":"_Rizal"} []
[2023-02-01T09:18:52.807749+01:00] Rizal\Logger\ProcessorTest.INFO: Hello [] {"app":{"author":"Rizal","app":"Belajar PHP Logger"}}
[2023-02-01T09:21:04.004775+01:00] Rizal\Logger\ProcessorTest.INFO: Hello {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"}}
[2023-02-01T09:21:37.547896+01:00] Rizal\Logger\ProcessorTest.INFO: Hello {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"}}
[2023-02-01T09:35:09.842097+01:00] Rizal\Logger\ProcessorTest.INFO: Hello {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"memory_usage":"4 MB"}
[2023-02-01T09:58:56.348786+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:236 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.348843+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:237 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.348898+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:238 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.348957+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:239 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.349012+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:240 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.349069+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:241 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.349125+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:242 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.349185+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:243 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.349245+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:244 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.349304+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:245 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.349362+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:246 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.349421+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:247 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.349479+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:248 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.349535+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:249 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.349592+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:250 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.349648+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:251 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.349709+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:252 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.349770+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:253 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.351385+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:254 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.351539+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:255 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.351605+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:256 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.351673+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:257 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.351734+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:258 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.351796+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:259 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.351853+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:260 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.351920+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:261 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.352387+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:262 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.352452+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:263 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.352525+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:264 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.352593+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:265 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.352654+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:266 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.352717+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:267 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.352972+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:268 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.412058+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:269 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.412165+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:270 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.412230+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:271 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.412299+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:272 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.412363+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:273 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.412427+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:274 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.412487+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:275 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.412551+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:276 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.412611+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:277 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.412677+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:278 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.412740+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:279 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.412800+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:280 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.412862+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:281 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.412924+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:282 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.412986+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:283 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.413048+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:284 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.413120+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:285 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.413185+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:286 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.413249+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:287 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.413311+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:288 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.413374+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:289 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.413434+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:290 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.413496+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:291 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.413553+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:292 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.413613+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:293 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.413670+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:294 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.413731+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:295 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.413788+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:296 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.413848+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:297 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.413905+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:298 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.413964+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:299 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414023+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:300 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414086+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:301 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414142+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:302 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414203+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:303 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414278+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:304 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414341+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:305 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414405+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:306 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414466+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:307 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414523+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:308 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414582+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:309 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414638+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:310 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414698+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:311 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414758+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:312 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414816+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:313 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414875+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:314 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414933+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:315 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.414992+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:316 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415052+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:317 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415108+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:318 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415165+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:319 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415223+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:320 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415287+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:321 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415346+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:322 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415405+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:323 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415464+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:324 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415520+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:325 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415582+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:326 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415643+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:327 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415701+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:328 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415758+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:329 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415816+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:330 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415875+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:331 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415934+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:332 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.415994+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:333 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.416052+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:334 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.416110+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:335 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.416166+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:336 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.416221+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:337 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.416287+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:338 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T09:58:56.416342+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:339 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
